Capture IP Address Packets

03:26:30.950798 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 745664:745820, ack 361, win 4063, length 156
03:26:30.950824 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 745820:745976, ack 361, win 4063, length 156
03:26:30.950849 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 745976:746132, ack 361, win 4063, length 156
03:26:30.950881 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 746132:746288, ack 361, win 4063, length 156
03:26:30.950908 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 746288:746444, ack 361, win 4063, length 156
03:26:30.950932 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 746444:746600, ack 361, win 4063, length 156
03:26:30.950963 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 746600:746756, ack 361, win 4063, length 156
03:26:30.950987 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 746756:746912, ack 361, win 4063, length 156
03:26:31.149220 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1197132:1197288, ack 613, win 4063, length 156
03:26:31.149246 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1197288:1197444, ack 613, win 4063, length 156
03:26:31.149273 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1197444:1197600, ack 613, win 4063, length 156
03:26:31.149298 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1197600:1197756, ack 613, win 4063, length 156
03:26:31.149326 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1197756:1197912, ack 613, win 4063, length 156
03:26:31.149355 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1197912:1198068, ack 613, win 4063, length 156
03:26:31.149383 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1198068:1198224, ack 613, win 4063, length 156
03:26:31.149411 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1198224:1198380, ack 613, win 4063, length 156
03:26:31.149438 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1198380:1198536, ack 613, win 4063, length 156
03:26:31.149465 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1198536:1198692, ack 613, win 4063, length 156
03:26:31.149491 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1198692:1198848, ack 613, win 4063, length 156
03:26:31.149523 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1198848:1199004, ack 613, win 4063, length 156
03:26:31.149550 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1199004:1199160, ack 613, win 4063, length 156
03:26:31.149575 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1199160:1199316, ack 613, win 4063, length 156
03:26:31.149603 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1199316:1199472, ack 613, win 4063, length 156
03:26:31.149630 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1199472:1199628, ack 613, win 4063, length 156
03:26:31.149658 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1199628:1199784, ack 613, win 4063, length 156
03:26:31.149685 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1199784:1199940, ack 613, win 4063, length 156
03:26:31.149715 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1199940:1200096, ack 613, win 4063, length 156
03:26:31.149742 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1200096:1200252, ack 613, win 4063, length 156
03:26:31.149767 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1200252:1200408, ack 613, win 4063, length 156
